,index,pre_close,pre_settle,open,high,low,close,settle,vol,MA,EMA,DEMA,HT_TRENDLINE,KAMA,TEMA,WMA,MACD,CCI,DX,MINUS_DI,PLUS_DI,pcg_zscore
194,195,0.6307581443444907,0.5419859593045623,0.541954000129092,0.07568600173489819,0.6454076989244947,0.005136175770639574,-0.011012469223096734,6546.0,6496.680000000002,6489.387941277144,6531.051034625681,6529.058245614036,6383.575290527095,6510.6128445884615,6511.440430107497,3.575958537272527,-52.87825598358785,28.778405371648866,26.32210687569632,14.557583783202375,-0.36456265803395566
195,196,0.00520383931769926,-0.010850436094717145,-0.23357062186637845,-0.06555323050334247,-0.20996141754096095,-0.3563077875703632,-0.2013474970713443,6655.0,6498.180000000002,6487.2338805495865,6524.193943324051,6525.343742690058,6384.137410731086,6500.674736945749,6508.815913978466,-0.0606200292122593,-68.85093726615821,31.915551784661023,27.03193725842654,13.951763135827932,-3.112340250136167
196,197,-0.35625262375806577,-0.20088876224616228,-0.11782041506632981,-0.09229349919206405,-3.427351190608657,-3.156415732925606,-2.9434253555197984,9657.0,6490.413333333335,6467.063952772194,6482.770853253326,6515.368187134503,6378.581474359264,6440.887024495988,6487.939784946208,-25.356963692079265,-242.40177146094044,61.0387419101969,42.91332584850455,10.382328774077044,0.6472684128087299
197,198,-3.1564574046125085,-2.9386921623221167,-3.091789914649255,-3.251318068316719,0.060918373249323476,0.647554182720678,0.24838436070018688,8125.0,6482.613333333336,6451.834020335278,6452.280216247609,6502.914736842105,6374.644670288204,6398.822427007029,6471.203440860186,-40.38792281606857,-227.77837896331613,61.03874191019691,39.91520233543929,9.656971244627504,-0.08420848402485925
198,199,0.6476440628642446,0.2481420358895498,0.49674349704279874,0.539659924977013,0.4160510931885055,-0.0767349920959992,0.16446386445289682,7622.0,6476.746666666669,6437.13505128139,6423.8018118909,6488.243842105263,6371.607679123166,6360.902472801915,6454.518709677391,-52.26245862185988,-154.16959103210925,51.311025645049135,37.02600616712613,11.914255798955669,-0.8496507304805525
199,200,-0.07667015988100426,-1.2873265405551915,-1.6949406089626373,-1.3143838725858397,-1.4361707668462438,-0.8426634733219394,-1.3350128960333667,7635.0,6467.253333333336,6418.623112489042,6388.832461930904,6471.06605263158,6363.913338317227,6314.595502013409,6433.45118279567,-66.85746577885402,-160.03159191586715,59.59026901064317,41.9208617580717,10.614749614669297,0.6243439347591987
200,201,-0.8426251290382236,0.11889193957536333,0.7358970603943308,0.3386293202514608,0.8720815171081077,0.6249669323898024,0.7009708806812014,7394.0,6460.080000000002,6404.802266522007,6364.004414933942,6454.566000000001,6360.122672279392,6284.259877273449,6416.492903225778,-73.20674528044401,-103.89745680186547,54.04980799826905,39.65436594309759,11.828159687240303,-0.07765580723140943
201,202,0.625056031403604,0.7000230462754764,0.6539835994774958,-0.15797134094572476,0.05864900865373474,-0.07021374605058213,-0.04042380449393479,6142.0,6453.046666666668,6391.46018481091,6340.813150434274,6437.986,6356.344281671062,6256.999670014181,6399.584516129004,-77.85752841951944,-87.9554749953523,54.04980799826905,37.944138787205226,11.318030741278156,-0.16747411736118262
202,203,-0.07014868831281146,-0.04021592382409773,-0.1557057803584525,0.10134994840689564,0.13128637734569676,-0.1596535163606261,-0.18454357520581682,6587.0,6443.540000000002,6378.062753532787,6318.150188888012,6419.904,6350.273771735942,6231.076275663533,6382.213763440832,-81.7468026348115,-74.8440362717136,52.26173015471055,36.37491928411913,11.404544731112004,0.8354216813443954
203,204,-0.15959155169818512,-0.1841110349922457,0.1197112083248406,0.6646250816341629,0.42519646272649964,0.8326682195933975,0.6894630207257652,6920.0,6438.593333333335,6370.226446853252,6306.848470453092,6399.486052631578,6348.735562830009,6222.150392246123,6370.153118279542,-78.05495989596966,-41.7849331095169,40.33339359991582,34.04530121285697,14.475297255556882,-0.25028665922695065
204,205,0.8327645014937961,0.6885331252228997,0.5722179904067028,-0.12637996718263955,-0.14463493014549614,-0.24221714512696485,-0.1045328365250244,6495.0,6429.793333333335,6361.502159959494,6294.051655587764,6379.688684210525,6344.890735481816,6211.008185291712,6357.0180645161,-75.99605222427272,-43.38616836711536,41.636790154380535,33.166515828128134,13.666677429043911,-0.29231329191402566
205,206,-0.24215803574380712,-0.10422502018491676,-0.2195214546301261,-0.2681969219264046,-0.20343821990585145,-0.2841542671914353,-0.39668019149963823,6058.0,6418.020000000001,6351.714923833075,6279.460263367065,6359.539894736842,6337.807923964072,6197.280225776109,6342.82494623653,-75.52715245614218,-50.19056981236157,43.49360929823765,32.844454057488385,12.933827244537198,0.11073865979990663
206,207,-0.2840966081102763,-0.3959169644192311,-0.5633205826331527,-0.11028708479107917,-0.6514906637968547,0.11702096715128718,0.17518715293399234,7211.0,6405.793333333334,6343.20428358578,6267.649647434624,6340.492631578947,6331.172608415536,6187.684473724726,6330.036559139756,-73.50135175511514,-57.412504525414086,49.0123757977134,34.36339332256682,11.758136031767693,-0.04766440738695693
207,208,0.11709249998475925,0.1750589307979441,0.4042927163054709,0.15387540522072007,1.1437015542727633,-0.04037385751889107,0.12942099118933387,4972.0,6395.6866666666665,6334.997555612504,6256.640150463841,6322.73052631579,6325.865697600392,6179.21207502788,6317.79182795696,-71.37969762462217,-25.063869056292106,46.028937745249934,33.61263430266234,12.422945797632815,0.018847214807056655
208,209,-0.04030776783501029,0.12936411113886642,0.10529179131482233,-0.06574444846222886,-0.29597411613477975,0.02575697997395734,-0.07374470979243937,5091.0,6385.006666666667,6327.449326218149,6247.085990677906,6310.423157894738,6320.3830708418745,6172.776759419882,6306.328172042982,-68.74444498535195,-24.20029527559058,48.65320993329691,34.500526777630434,11.916939475686766,-0.029327542338692836
209,210,0.025825356645620755,-0.07348488719024847,-0.11327417434608154,0.25636550328901914,-0.02106810268856568,-0.022135812451563635,0.1078507694593546,6280.0,6373.966666666666,6320.2461438814935,6238.329078770847,6296.896263157895,6314.765198342008,6167.360502511998,6295.411612903196,-66.07187445617546,19.29074692117368,43.3178431383905,32.454474521275,12.835733328052356,-0.06375391907391266
