ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,vol,change1,MA,EMA,DEMA,HT_TRENDLINE,KAMA,TEMA,WMA,MACD,CCI,DX,MINUS_DI,PLUS_DI
IF.CFX,20160224,3022.4,3006.4,3017.0,3045.8,2977.0,3039.8,3018.0,20368.0,33.4,3027.040000000001,3083.935508169044,2908.675839566344,3081.1258591882506,3064.674883734544,2935.07611372665,2987.5479569892477,-59.941557636993366,89.93585778009303,8.183795956396837,22.252557800803622,18.885872597354066
IF.CFX,20160225,3039.8,3018.0,3039.8,3043.6,2822.0,2847.0,2875.6,23938.0,-171.0,3013.766666666668,3068.6493463516863,2890.3967953135675,3046.447452705423,3055.5608448021876,2912.294032733625,2975.93247311828,-67.68869939664955,-100.73287082034528,31.39549866410284,30.168095297972386,15.751431024757403
IF.CFX,20160226,2847.0,2875.6,2879.0,2905.2,2851.0,2880.0,2889.8,20746.0,4.4,2999.4666666666676,3056.4784207806097,2878.3403297591044,3015.4257128892614,3047.2002847876774,2898.9319176837307,2967.3023655913985,-70.35453753431011,-140.47674328612257,31.395498664102828,28.815442520594864,15.045181037382813
IF.CFX,20160229,2880.0,2889.8,2868.2,2879.0,2753.2,2789.0,2782.4,22702.0,-100.8,2987.3733333333344,3039.221748472183,2856.433098905473,2989.1465625533374,3036.8892161926033,2871.3456747765445,2953.7238709677426,-78.90065530559059,-194.5489371890699,42.105749143147065,33.414302820910855,13.613073653846264
IF.CFX,20160301,2789.0,2782.4,2800.0,2898.6,2793.4,2864.2,2872.0,23348.0,81.8,2976.293333333334,3027.9300227643002,2846.370962023552,2972.1664021164024,3030.901645068234,2861.471696740132,2945.777204301076,-78.69831845624503,-116.50182404546823,37.47374768009043,30.69463062480622,13.960630678223717
IF.CFX,20160302,2864.2,2872.0,2883.6,3017.8,2880.0,3009.0,3002.2,24454.0,137.0,2971.5000000000005,3026.708730973055,2855.7206592495772,2960.169796499797,3030.6164380598734,2879.736142742534,2947.8873118279575,-66.0919483497064,21.09779766774102,13.288628767870653,27.336535628978137,20.923445847169706
IF.CFX,20160303,3009.0,3002.2,3010.0,3034.8,2998.2,3008.6,3009.0,20460.0,6.4,2964.966666666667,3025.5404257489868,2864.490911830315,2952.4092113960114,3030.2201072402668,2896.2543698185445,2950.2808602150544,-55.49388688903173,65.1373561511338,10.308100732234621,26.590045282160247,21.620458036550254
IF.CFX,20160304,3008.6,3009.0,3006.6,3069.0,2982.0,3052.4,3048.0,23353.0,43.4,2965.786666666667,3027.2733015071167,2878.2351561311257,2948.8727977207986,3030.341574397426,2919.1858003052034,2955.921720430108,-43.06413632139129,79.6425527994657,4.359682341901229,24.852733615475145,22.77626075814337
IF.CFX,20160307,3052.4,3048.0,3090.2,3135.6,3048.0,3083.8,3068.2,21358.0,35.8,2967.1800000000003,3030.920185280851,2894.9090050722884,2947.83276923077,3030.6876590655597,2945.4041880046657,2963.535483870968,-30.330125063879677,125.57282671272331,6.243325921657324,23.208458473209305,26.299395130506237
IF.CFX,20160308,3083.8,3068.2,3072.2,3080.0,2970.2,3075.4,3058.8,22774.0,7.2,2965.226666666667,3033.7898507466025,2909.2381111484888,2952.178000000001,3031.034847095934,2967.195662204682,2970.5174193548396,-20.67777863632591,67.47375092064442,5.797316941988263,27.038122257071063,24.074936256306643
IF.CFX,20160309,3075.4,3058.8,3029.2,3042.2,2992.0,3016.6,3020.4,19523.0,-42.2,2963.3133333333335,3032.6808281177896,2915.1272118409875,2959.081500000001,3030.9239407852674,2975.8921975489748,2973.83182795699,-17.570353046233322,40.08622577005281,5.797316941988263,25.343336470973277,22.56588694509835
IF.CFX,20160310,3016.6,3020.4,3020.6,3060.0,2982.0,2983.0,3007.0,19317.0,-37.4,2962.38,3029.475613400513,2916.5076747286325,2966.712973913044,3030.6469169984134,2977.642166214902,2975.101935483872,-17.6158702842381,29.497358440568973,2.708693286851762,23.838365916450705,22.581007465845786
IF.CFX,20160311,2983.0,3007.0,2980.2,3012.0,2961.0,2986.6,2985.2,19754.0,-20.4,2960.5333333333338,3026.709444794028,2918.442054114267,2972.2311956521744,3030.307903230334,2980.029671690825,2976.6645161290335,-17.16360179225603,12.238857339528032,6.1883089703540435,24.5342482173422,21.674695978561214
IF.CFX,20160314,2986.6,2985.2,3020.0,3108.8,3019.8,3042.0,3058.4,21773.0,56.8,2960.4600000000005,3027.6959322266716,2927.3363775761427,2976.7905335968385,3030.3579199851165,2992.3482535299468,2981.920430107528,-12.194290560164518,78.38951310861417,9.821964786555574,22.231777715443634,27.074636341644077
IF.CFX,20160315,3042.0,3058.4,3043.0,3060.6,3011.2,3046.6,3044.8,18995.0,-11.8,2965.3800000000006,3028.91554950237,2936.171737119464,2981.179644268776,3030.633979097084,3004.113702552412,2987.4778494623665,-7.7950377081251645,59.14881688515127,8.260260160246565,22.042466433857676,26.011880509703307
IF.CFX,20160316,3046.6,3044.8,3070.0,3096.8,3043.0,3062.0,3068.8,17534.0,17.2,2971.8600000000006,3031.0500301796365,2946.2864618098442,2985.6740146809716,3031.361447785008,3017.3104641948685,2993.711397849463,-3.031007266121833,78.75227828985048,13.8158706456977,21.072350033340353,27.82841671157177
IF.CFX,20160317,3062.0,3068.8,3099.0,3160.6,3071.0,3123.0,3128.8,14253.0,54.2,2982.066666666667,3036.982286297079,2963.2368651577845,2991.448285714286,3035.0904165015695,3039.9859728626275,3003.4623655913983,5.602133476372273,125.0270133572433,22.70065497848396,19.388201091559566,30.77574553997507
IF.CFX,20160318,3123.0,3073.0,3094.2,3164.2,3080.2,3125.0,3131.0,21475.0,52.0,2989.4400000000005,3042.660848471461,2978.9853997623495,2997.1723164730006,3037.6988329381043,3060.2032489209223,3012.683870967742,12.461692366060106,131.17471607204251,23.181881729658464,18.063674509693005,28.96604950963943
